text,label,tokens
trend twitter kali anies bubble roket fenomena gemar kpop join amin isme,Sosial Budaya,"['trend', 'twitter', 'kali', 'anies', 'bubble', 'roket', 'fenomena', 'gemar', 'kpop', 'join', 'amin', 'isme']"
wait wait bukti anies politik identitas ahok terang terang pilih kepala daerah mantik selisih password wireless fidelity kafir pikir adil sulit,Politik,"['wait', 'wait', 'bukti', 'anies', 'politik', 'identitas', 'ahok', 'terang', 'terang', 'pilih', 'kepala', 'daerah', 'mantik', 'selisih', 'password', 'wireless', 'fidelity', 'kafir', 'pikir', 'adil', 'sulit']"
siti atikoh unjung kantor tpd ganjarmahfud sumatera selatan atikoh kejut sandang tuna rungu simpatisan ganjarmahfud tuna rungu nasional atikoh kejut kaos warna merah tulis negara indonesia tidak kejut atikoh ajar bahasa isyarat,Politik,"['siti', 'atikoh', 'unjung', 'kantor', 'tpd', 'ganjarmahfud', 'sumatera', 'selatan', 'atikoh', 'kejut', 'sandang', 'tuna', 'rungu', 'simpatisan', 'ganjarmahfud', 'tuna', 'rungu', 'nasional', 'atikoh', 'kejut', 'kaos', 'warna', 'merah', 'tulis', 'negara', 'indonesia', 'tidak', 'kejut', 'atikoh', 'ajar', 'bahasa', 'isyarat']"
abah anies angkat martabat tani terus terima bansos hasil,Sosial Budaya,"['abah', 'anies', 'angkat', 'martabat', 'tani', 'terus', 'terima', 'bansos', 'hasil']"
calon presiden republik indonesia ganjar pranowo mahfud md regulasi hukum investasi mudah paham,Politik,"['calon', 'presiden', 'republik', 'indonesia', 'ganjar', 'pranowo', 'mahfud', 'md', 'regulasi', 'hukum', 'investasi', 'mudah', 'paham']"
michael gaya bicara keras kes emosional isi perlu prabowo keras militer orang sifat lurah bu hesti anies deserve lebih baik asnawi videotron pegang miftah papua amien rais,Politik,"['michael', 'gaya', 'bicara', 'keras', 'kes', 'emosional', 'isi', 'perlu', 'prabowo', 'keras', 'militer', 'orang', 'sifat', 'lurah', 'bu', 'hesti', 'anies', 'deserve', 'lebih', 'baik', 'asnawi', 'videotron', 'pegang', 'miftah', 'papua', 'amien', 'rais']"
paslon ganjar pranowo mahfud md regulasi hukum investor indonesia sahabat ukur,Politik,"['paslon', 'ganjar', 'pranowo', 'mahfud', 'md', 'regulasi', 'hukum', 'investor', 'indonesia', 'sahabat', 'ukur']"
anies sosok ayah penuh hangat memang sosok ayah yang penuh hangat lihat dalam tayang video tangan lentur banget gendong anak luwes tidak kaku tidak buatbuat anakanaknya juga rasa gendong peluk peluk beliau kuat sejati tenang peluk ayah,Pertahanan dan Keamanan,"['anies', 'sosok', 'ayah', 'penuh', 'hangat', 'memang', 'sosok', 'ayah', 'yang', 'penuh', 'hangat', 'lihat', 'dalam', 'tayang', 'video', 'tangan', 'lentur', 'banget', 'gendong', 'anak', 'luwes', 'tidak', 'kaku', 'tidak', 'buatbuat', 'anakanaknya', 'juga', 'rasa', 'gendong', 'peluk', 'peluk', 'beliau', 'kuat', 'sejati', 'tenang', 'peluk', 'ayah']"
calon presiden ganjar pranowo tidak mainmain ini kolaborasi guru program edukatif oke,Politik,"['calon', 'presiden', 'ganjar', 'pranowo', 'tidak', 'mainmain', 'ini', 'kolaborasi', 'guru', 'program', 'edukatif', 'oke']"
projo kawal prabowo gibran menang putar,Politik,"['projo', 'kawal', 'prabowo', 'gibran', 'menang', 'putar']"
tempodotco semangat mnddukung mu ganjar mahfud hebat,Politik,"['tempodotco', 'semangat', 'mnddukung', 'mu', 'ganjar', 'mahfud', 'hebat']"
anies sesuai selera masyarakat sumatera barat,Sosial Budaya,"['anies', 'sesuai', 'selera', 'masyarakat', 'sumatera', 'barat']"
abah anies baswedan agence madagascar de presse fery farhati pekanbaru kampanye akbar,Politik,"['abah', 'anies', 'baswedan', 'agence', 'madagascar', 'de', 'presse', 'fery', 'farhati', 'pekanbaru', 'kampanye', 'akbar']"
atikoh kan solusi ganjarmahfud atas harga pangan,Politik,"['atikoh', 'kan', 'solusi', 'ganjarmahfud', 'atas', 'harga', 'pangan']"
gilir buruh soloraya deklarasi dukung prabowogibran soloraya,Politik,"['gilir', 'buruh', 'soloraya', 'deklarasi', 'dukung', 'prabowogibran', 'soloraya']"
calon presiden calon wakil presiden ganjar pranowo mahfud md ajak satu jaga konstitusi atur dasar negara,Ideologi,"['calon', 'presiden', 'calon', 'wakil', 'presiden', 'ganjar', 'pranowo', 'mahfud', 'md', 'ajak', 'satu', 'jaga', 'konstitusi', 'atur', 'dasar', 'negara']"
raja dangdut haji rhoma irama seni film anies pilih presiden desak anies agence madagascar de presse slepet imin jiexpo mayor jakarta pusat senin januari,Politik,"['raja', 'dangdut', 'haji', 'rhoma', 'irama', 'seni', 'film', 'anies', 'pilih', 'presiden', 'desak', 'anies', 'agence', 'madagascar', 'de', 'presse', 'slepet', 'imin', 'jiexpo', 'mayor', 'jakarta', 'pusat', 'senin', 'januari']"
calon presiden ganjar pranowo ruang masyarakat masuk saran evaluasi pasal karet undang ite,Politik,"['calon', 'presiden', 'ganjar', 'pranowo', 'ruang', 'masyarakat', 'masuk', 'saran', 'evaluasi', 'pasal', 'karet', 'undang', 'ite']"
musuh utama gen anies tekad basmi praktik ordal terima tenaga kerja sektor swasta agence madagascar de presse perintah dengan tega atur,Politik,"['musuh', 'utama', 'gen', 'anies', 'tekad', 'basmi', 'praktik', 'ordal', 'terima', 'tenaga', 'kerja', 'sektor', 'swasta', 'agence', 'madagascar', 'de', 'presse', 'perintah', 'dengan', 'tega', 'atur']"
debat caprescawapres anies nilai menteri tahan laksana bijak nilai menteri layak paslon,Politik,"['debat', 'caprescawapres', 'anies', 'nilai', 'menteri', 'tahan', 'laksana', 'bijak', 'nilai', 'menteri', 'layak', 'paslon']"
pasang duet calon presiden calon wakil presiden ganjar pranowo mahfud md motor ubah kredit koprasi umkm andal bisnis lokal sukses temantemanjna,Ekonomi,"['pasang', 'duet', 'calon', 'presiden', 'calon', 'wakil', 'presiden', 'ganjar', 'pranowo', 'mahfud', 'md', 'motor', 'ubah', 'kredit', 'koprasi', 'umkm', 'andal', 'bisnis', 'lokal', 'sukses', 'temantemanjna']"
anak muda indonesia future nation hand tourism indonesia mart and expo change anies presidentsampaikan yang teman adu ide agence madagascar de presse gagasantunjukan karyakarya anies ubah indonesia,Ideologi,"['anak', 'muda', 'indonesia', 'future', 'nation', 'hand', 'tourism', 'indonesia', 'mart', 'and', 'expo', 'change', 'anies', 'presidentsampaikan', 'yang', 'teman', 'adu', 'ide', 'agence', 'madagascar', 'de', 'presse', 'gagasantunjukan', 'karyakarya', 'anies', 'ubah', 'indonesia']"
aniess post reached likes dialog calon presiden kamar dagang indonesia tvonenews youtube days hour minutes fastest highest post reach ke likes likes capress members,Sosial Budaya,"['aniess', 'post', 'reached', 'likes', 'dialog', 'calon', 'presiden', 'kamar', 'dagang', 'indonesia', 'tvonenews', 'youtube', 'days', 'hour', 'minutes', 'fastest', 'highest', 'post', 'reach', 'ke', 'likes', 'likes', 'capress', 'members']"
according prabowo gaza opressed dont sufficient military power tonedeaf statement coming mister defense,Pertahanan dan Keamanan,"['according', 'prabowo', 'gaza', 'opressed', 'dont', 'sufficient', 'military', 'power', 'tonedeaf', 'statement', 'coming', 'mister', 'defense']"
kejam warga situ sedia bangun jis dengan janji anies untuk memabngun rumah susun telah rumah bangun mereka tidak hak anies gubernur selalu tepat janji kampung akuarium kampung kunir dan lain yang salah rakyat rumah,Sosial Budaya,"['kejam', 'warga', 'situ', 'sedia', 'bangun', 'jis', 'dengan', 'janji', 'anies', 'untuk', 'memabngun', 'rumah', 'susun', 'telah', 'rumah', 'bangun', 'mereka', 'tidak', 'hak', 'anies', 'gubernur', 'selalu', 'tepat', 'janji', 'kampung', 'akuarium', 'kampung', 'kunir', 'dan', 'lain', 'yang', 'salah', 'rakyat', 'rumah']"
prabowogibran terap program lancar ekonomi biru internasional kontan,Ekonomi,"['prabowogibran', 'terap', 'program', 'lancar', 'ekonomi', 'biru', 'internasional', 'kontan']"
viral anies baswedan ancam tembak taman ismail marzuki hukum amin tempuh jalur hukum,Pertahanan dan Keamanan,"['viral', 'anies', 'baswedan', 'ancam', 'tembak', 'taman', 'ismail', 'marzuki', 'hukum', 'amin', 'tempuh', 'jalur', 'hukum']"
kasihan dukung prabowo sudah bela bain masuk penjara tidak aku,Politik,"['kasihan', 'dukung', 'prabowo', 'sudah', 'bela', 'bain', 'masuk', 'penjara', 'tidak', 'aku']"
tempodotco ayo ganjar tuntas masalah indonesia mnang semuakerja ganjar mahfud hebat ayahbowo adalahkita,Politik,"['tempodotco', 'ayo', 'ganjar', 'tuntas', 'masalah', 'indonesia', 'mnang', 'semuakerja', 'ganjar', 'mahfud', 'hebat', 'ayahbowo', 'adalahkita']"
wiranto langsung gerak cepat dukung prabowo gibran,Politik,"['wiranto', 'langsung', 'gerak', 'cepat', 'dukung', 'prabowo', 'gibran']"
saya beneran sedih banget iya orang itu susah terima fakta kalau prabowo perang criminal zionist seperti theres possibilities kalau beliau pilih regress demokrasi otoriter menteri progresif yang depak,Politik,"['saya', 'beneran', 'sedih', 'banget', 'iya', 'orang', 'itu', 'susah', 'terima', 'fakta', 'kalau', 'prabowo', 'perang', 'criminal', 'zionist', 'seperti', 'theres', 'possibilities', 'kalau', 'beliau', 'pilih', 'regress', 'demokrasi', 'otoriter', 'menteri', 'progresif', 'yang', 'depak']"
laut manusia sambut calon presiden nomor urut anies baswedan laksana giat kampanye bone sulawesi selatan sulawesi selatan rabu anies temu masyarakat bone lapang sepak bola cina kampanye kali spesial lantar tani eks wakil presiden jusuf kalla jk laut manusia antusias sapa anies takjub uang obar semangat simak berita lengkap,Politik,"['laut', 'manusia', 'sambut', 'calon', 'presiden', 'nomor', 'urut', 'anies', 'baswedan', 'laksana', 'giat', 'kampanye', 'bone', 'sulawesi', 'selatan', 'sulawesi', 'selatan', 'rabu', 'anies', 'temu', 'masyarakat', 'bone', 'lapang', 'sepak', 'bola', 'cina', 'kampanye', 'kali', 'spesial', 'lantar', 'tani', 'eks', 'wakil', 'presiden', 'jusuf', 'kalla', 'jk', 'laut', 'manusia', 'antusias', 'sapa', 'anies', 'takjub', 'uang', 'obar', 'semangat', 'simak', 'berita', 'lengkap']"
kali calon presiden yang peluk orang papua cium tangan anakanak papua biar rakyat nilai tidak pengaruh prabowo istirahat anies deserve lebih baik,Politik,"['kali', 'calon', 'presiden', 'yang', 'peluk', 'orang', 'papua', 'cium', 'tangan', 'anakanak', 'papua', 'biar', 'rakyat', 'nilai', 'tidak', 'pengaruh', 'prabowo', 'istirahat', 'anies', 'deserve', 'lebih', 'baik']"
pilih aniesmuhaimin februari silah retweet,Politik,"['pilih', 'aniesmuhaimin', 'februari', 'silah', 'retweet']"
data manaaaaa data lahan prabowo rahasia tahan index peringkat baca ganjar rahasia tahan astagaaaa,Pertahanan dan Keamanan,"['data', 'manaaaaa', 'data', 'lahan', 'prabowo', 'rahasia', 'tahan', 'index', 'peringkat', 'baca', 'ganjar', 'rahasia', 'tahan', 'astagaaaa']"
video rekam april dalam acara adil anies jadi presiden cita cita anies value pikir yang bawa dalam gagas anies pikir negarawan jarang dengar pikir beliau negeri teman,Politik,"['video', 'rekam', 'april', 'dalam', 'acara', 'adil', 'anies', 'jadi', 'presiden', 'cita', 'cita', 'anies', 'value', 'pikir', 'yang', 'bawa', 'dalam', 'gagas', 'anies', 'pikir', 'negarawan', 'jarang', 'dengar', 'pikir', 'beliau', 'negeri', 'teman']"
ganjar prof mahfud oleh dukung luas berani hadap dinamika gopolitik duga,Politik,"['ganjar', 'prof', 'mahfud', 'oleh', 'dukung', 'luas', 'berani', 'hadap', 'dinamika', 'gopolitik', 'duga']"
jk tanah bob hasan milik prabowo,Politik,"['jk', 'tanah', 'bob', 'hasan', 'milik', 'prabowo']"
bawaslu bahkan kes yang benar giat paslon kunjung prabowo cilincing yang warna uang rb anggap kunjung menteri tahan bawaslu serah klean,Politik,"['bawaslu', 'bahkan', 'kes', 'yang', 'benar', 'giat', 'paslon', 'kunjung', 'prabowo', 'cilincing', 'yang', 'warna', 'uang', 'rb', 'anggap', 'kunjung', 'menteri', 'tahan', 'bawaslu', 'serah', 'klean']"
prabowo tipe suka bukti kerja dar omong kosong belaka,Politik,"['prabowo', 'tipe', 'suka', 'bukti', 'kerja', 'dar', 'omong', 'kosong', 'belaka']"
abah anies angkat martabat tani terus terima bansos hasil,Sosial Budaya,"['abah', 'anies', 'angkat', 'martabat', 'tani', 'terus', 'terima', 'bansos', 'hasil']"
anies prediksiulama madura jawa timur kagum kagum anies ulama madura yang berita nasional malaysia kyai fattah aku kalah simak anies acara cifp yang,Politik,"['anies', 'prediksiulama', 'madura', 'jawa', 'timur', 'kagum', 'kagum', 'anies', 'ulama', 'madura', 'yang', 'berita', 'nasional', 'malaysia', 'kyai', 'fattah', 'aku', 'kalah', 'simak', 'anies', 'acara', 'cifp', 'yang']"
nelayan butuh tindak nyata ganjar pranowo mahfud md hadir solusi baik,Politik,"['nelayan', 'butuh', 'tindak', 'nyata', 'ganjar', 'pranowo', 'mahfud', 'md', 'hadir', 'solusi', 'baik']"
anies sikap kritis kerja prabowo anggap tidak sopan anggap hormat orang tua gilir sekarang gibran yang sebal sok kritis bahkan anggap kritis keras standar ganda,Politik,"['anies', 'sikap', 'kritis', 'kerja', 'prabowo', 'anggap', 'tidak', 'sopan', 'anggap', 'hormat', 'orang', 'tua', 'gilir', 'sekarang', 'gibran', 'yang', 'sebal', 'sok', 'kritis', 'bahkan', 'anggap', 'kritis', 'keras', 'standar', 'ganda']"
ganjar pranowo tindak positif berani jaga aman nasional dukung cyber force,Pertahanan dan Keamanan,"['ganjar', 'pranowo', 'tindak', 'positif', 'berani', 'jaga', 'aman', 'nasional', 'dukung', 'cyber', 'force']"
batam pecah suasana pasar tos batam anies baswedan kunjung warga sambut teriak anies presiden,Politik,"['batam', 'pecah', 'suasana', 'pasar', 'tos', 'batam', 'anies', 'baswedan', 'kunjung', 'warga', 'sambut', 'teriak', 'anies', 'presiden']"
debat malam buka imformasi tahan tapi rdp dengan komisi dewan wakil rakyat beliau tolak rapat buka tahan supaya rapat tutup ngadepin calon presiden sok tahu tidak buka,Pertahanan dan Keamanan,"['debat', 'malam', 'buka', 'imformasi', 'tahan', 'tapi', 'rdp', 'dengan', 'komisi', 'dewan', 'wakil', 'rakyat', 'beliau', 'tolak', 'rapat', 'buka', 'tahan', 'supaya', 'rapat', 'tutup', 'ngadepin', 'calon', 'presiden', 'sok', 'tahu', 'tidak', 'buka']"
anies prestasi jakarta gemilang dukung perintah pusat cenderung hambat framing jahat anies tidak kerja,Politik,"['anies', 'prestasi', 'jakarta', 'gemilang', 'dukung', 'perintah', 'pusat', 'cenderung', 'hambat', 'framing', 'jahat', 'anies', 'tidak', 'kerja']"
konsisten suara lawan radikalisme intoleransi yang pilih prabowo omon omon anggap tokoh toleran masyarakat lintas etnis kalimantan barat kompak dukung ganjar pontianak ribu masyarakat lintas etnis sekalimantan barat kumpul hotel golden tulip pontianak rabu wakil tokoh dayak tionghoa papua jawa mang batak madura selamat kota khatulistiwa ganjar bangga tokoh adat etnis sambut ganjar ketua dewan bina dewan adat daerah dad kalimantan barat ketua taman ismail marzuki menang daerah tpd ganjar mahfud kalimantan barat lazarus masyarakat kalimantan barat antusias sambut ganjar hadir tokoh ketua organisasi etnis bukti sepakat dukung ganjar mahfud tokoh adat kumpul wakil organisasi kelompok etnis adat kalimantan barat dukung ganjar menang kalimantan barat lazarus sambut ria kompak ribu masyarakat adat kalimantan barat ganjar presiden ganjar mahfud menang menang menang teriak kompak tokoh adat dayak henusa masyarakat lintas etnis kalimantan barat kompak dukung ganjar anggap tokoh toleran anggota dewan wakil rakyat republik indonesia gubernur jawa tengah periode ganjar harmonisasi idola dukung ganjar presiden tangan beliau kasuskasus intoleransi indonesia hilang ganjar sambut dukung masyarakat lintas etnis kalimantan barat terima kasih turut apa hasil pilpres toleransi indonesia jaga kalimantan barat contoh daerah toleran kalimantan barat kota nobat kota toleran indonesia singkawang,Demografi,"['konsisten', 'suara', 'lawan', 'radikalisme', 'intoleransi', 'yang', 'pilih', 'prabowo', 'omon', 'omon', 'anggap', 'tokoh', 'toleran', 'masyarakat', 'lintas', 'etnis', 'kalimantan', 'barat', 'kompak', 'dukung', 'ganjar', 'pontianak', 'ribu', 'masyarakat', 'lintas', 'etnis', 'sekalimantan', 'barat', 'kumpul', 'hotel', 'golden', 'tulip', 'pontianak', 'rabu', 'wakil', 'tokoh', 'dayak', 'tionghoa', 'papua', 'jawa', 'mang', 'batak', 'madura', 'selamat', 'kota', 'khatulistiwa', 'ganjar', 'bangga', 'tokoh', 'adat', 'etnis', 'sambut', 'ganjar', 'ketua', 'dewan', 'bina', 'dewan', 'adat', 'daerah', 'dad', 'kalimantan', 'barat', 'ketua', 'taman', 'ismail', 'marzuki', 'menang', 'daerah', 'tpd', 'ganjar', 'mahfud', 'kalimantan', 'barat', 'lazarus', 'masyarakat', 'kalimantan', 'barat', 'antusias', 'sambut', 'ganjar', 'hadir', 'tokoh', 'ketua', 'organisasi', 'etnis', 'bukti', 'sepakat', 'dukung', 'ganjar', 'mahfud', 'tokoh', 'adat', 'kumpul', 'wakil', 'organisasi', 'kelompok', 'etnis', 'adat', 'kalimantan', 'barat', 'dukung', 'ganjar', 'menang', 'kalimantan', 'barat', 'lazarus', 'sambut', 'ria', 'kompak', 'ribu', 'masyarakat', 'adat', 'kalimantan', 'barat', 'ganjar', 'presiden', 'ganjar', 'mahfud', 'menang', 'menang', 'menang', 'teriak', 'kompak', 'tokoh', 'adat', 'dayak', 'henusa', 'masyarakat', 'lintas', 'etnis', 'kalimantan', 'barat', 'kompak', 'dukung', 'ganjar', 'anggap', 'tokoh', 'toleran', 'anggota', 'dewan', 'wakil', 'rakyat', 'republik', 'indonesia', 'gubernur', 'jawa', 'tengah', 'periode', 'ganjar', 'harmonisasi', 'idola', 'dukung', 'ganjar', 'presiden', 'tangan', 'beliau', 'kasuskasus', 'intoleransi', 'indonesia', 'hilang', 'ganjar', 'sambut', 'dukung', 'masyarakat', 'lintas', 'etnis', 'kalimantan', 'barat', 'terima', 'kasih', 'turut', 'apa', 'hasil', 'pilpres', 'toleransi', 'indonesia', 'jaga', 'kalimantan', 'barat', 'contoh', 'daerah', 'toleran', 'kalimantan', 'barat', 'kota', 'nobat', 'kota', 'toleran', 'indonesia', 'singkawang']"
koneksi internet butuh pokok masyarakat indonesia jalan aktivitas seharihari paslon ganjarmahfud komitmen hadir internet kuat cepat murah masyarakat indonesia,Ekonomi,"['koneksi', 'internet', 'butuh', 'pokok', 'masyarakat', 'indonesia', 'jalan', 'aktivitas', 'seharihari', 'paslon', 'ganjarmahfud', 'komitmen', 'hadir', 'internet', 'kuat', 'cepat', 'murah', 'masyarakat', 'indonesia']"
jaua suparna anies nya fakultas ekonomi nya bijak uang nya political ekonomi agence madagascar de presse bangun,Ekonomi,"['jaua', 'suparna', 'anies', 'nya', 'fakultas', 'ekonomi', 'nya', 'bijak', 'uang', 'nya', 'political', 'ekonomi', 'agence', 'madagascar', 'de', 'presse', 'bangun']"
isu palestina prabowo pihak agence madagascar de presse peduli tegak konstitusi watak asli,Politik,"['isu', 'palestina', 'prabowo', 'pihak', 'agence', 'madagascar', 'de', 'presse', 'peduli', 'tegak', 'konstitusi', 'watak', 'asli']"
acara dukung anies ramai lokasi kampanye,Politik,"['acara', 'dukung', 'anies', 'ramai', 'lokasi', 'kampanye']"
penting bangsa syukur prabowogibran,Politik,"['penting', 'bangsa', 'syukur', 'prabowogibran']"
butuh jaga tentara nasional indonesia al kuat kibar merah putih tegak daulat negara menteri tahan prabowo,Pertahanan dan Keamanan,"['butuh', 'jaga', 'tentara', 'nasional', 'indonesia', 'al', 'kuat', 'kibar', 'merah', 'putih', 'tegak', 'daulat', 'negara', 'menteri', 'tahan', 'prabowo']"
kerja prabowo fokus modernisasi alat utama sistem senjata tentara nasional indonesia beliau nilai dorong kembang industri tahan negeri loh,Pertahanan dan Keamanan,"['kerja', 'prabowo', 'fokus', 'modernisasi', 'alat', 'utama', 'sistem', 'senjata', 'tentara', 'nasional', 'indonesia', 'beliau', 'nilai', 'dorong', 'kembang', 'industri', 'tahan', 'negeri', 'loh']"
tidak batas wacana lebih baik sudah langkah nyata kayak pasang ganjar pranowo mahfud md,Politik,"['tidak', 'batas', 'wacana', 'lebih', 'baik', 'sudah', 'langkah', 'nyata', 'kayak', 'pasang', 'ganjar', 'pranowo', 'mahfud', 'md']"
,Sosial Budaya,[]
duo bangsa ganjar pranowo prof mahfud program buat indonesia ayo pilih bawa solusi nyataganjarmahfud taat hukum,Politik,"['duo', 'bangsa', 'ganjar', 'pranowo', 'prof', 'mahfud', 'program', 'buat', 'indonesia', 'ayo', 'pilih', 'bawa', 'solusi', 'nyataganjarmahfud', 'taat', 'hukum']"
menteri komunikasi dan informatika budi arie bela prabowo data tahan sifat rahasia,Pertahanan dan Keamanan,"['menteri', 'komunikasi', 'dan', 'informatika', 'budi', 'arie', 'bela', 'prabowo', 'data', 'tahan', 'sifat', 'rahasia']"
anies referensi jkw calon presiden ajar rakyat indonesia bodoh tolol janji kembali tanah bilang,Politik,"['anies', 'referensi', 'jkw', 'calon', 'presiden', 'ajar', 'rakyat', 'indonesia', 'bodoh', 'tolol', 'janji', 'kembali', 'tanah', 'bilang']"
calon presiden republik indonesia nomor urut ganjar pranowo tidak mainmain jaga konstitusi atur dasar negara percaya,Ideologi,"['calon', 'presiden', 'republik', 'indonesia', 'nomor', 'urut', 'ganjar', 'pranowo', 'tidak', 'mainmain', 'jaga', 'konstitusi', 'atur', 'dasar', 'negara', 'percaya']"
